Current Role,Target Role,Experience,Tech_Current,Tech_Target,Marketing_Current,Marketing_Target,Business_Current,Business_Target,Soft Skills_Current,Soft Skills_Target
Director Marketing Specialist,Director Marketing Specialist,12,2,5,4,4,3,5,3,3
Director Marketing Specialist,Director Marketing Specialist,15,3,3,1,4,2,4,5,5
Director Software Developer,Director Software Developer,14,3,4,3,4,2,3,2,2
Senior Data Scientist,Lead Data Scientist,10,1,2,2,3,1,3,2,3
Manager Software Developer,Director Software Developer,10,5,5,3,4,2,4,3,5
Analyst UX Designer,Specialist UX Designer,1,2,5,1,5,3,4,5,5
Specialist Data Scientist,Manager Data Scientist,6,4,4,2,2,3,4,1,1
Manager Data Scientist,Director Data Scientist,9,1,4,2,2,3,4,3,5
Lead Project Manager,Lead Project Manager,12,1,3,3,3,4,4,3,4
Junior Data Scientist,Mid-Level Data Scientist,1,1,1,3,5,1,1,1,5
Analyst Marketing Specialist,Specialist Marketing Specialist,3,2,4,4,5,1,5,2,5
Analyst UX Designer,Specialist UX Designer,2,5,5,1,5,3,4,2,2
Analyst Data Scientist,Specialist Data Scientist,2,5,5,2,5,1,1,1,4
Manager Software Developer,Director Software Developer,9,4,5,1,4,1,4,4,5
Manager Marketing Specialist,Director Marketing Specialist,10,1,5,1,4,2,2,2,3
Senior Software Developer,Lead Software Developer,9,3,3,2,2,1,4,4,4
Lead Marketing Specialist,Lead Marketing Specialist,15,3,3,5,5,2,3,5,5
Director Project Manager,Director Project Manager,12,2,2,1,4,2,5,2,2
Director Marketing Specialist,Director Marketing Specialist,15,1,1,5,5,3,3,5,5
Junior Software Developer,Mid-Level Software Developer,3,5,5,3,3,1,5,1,2
Junior Data Scientist,Mid-Level Data Scientist,2,3,5,1,5,1,3,1,2
Director Project Manager,Director Project Manager,12,1,5,2,5,2,5,2,4
Mid-Level Data Scientist,Senior Data Scientist,5,5,5,3,5,1,5,4,5
Analyst Software Developer,Specialist Software Developer,1,4,5,3,3,1,1,1,1
Manager Marketing Specialist,Director Marketing Specialist,9,1,5,3,3,2,2,1,2
Director Project Manager,Director Project Manager,12,3,5,1,2,2,5,3,5
Junior Software Developer,Mid-Level Software Developer,1,1,3,1,3,3,4,4,4
Senior Marketing Specialist,Lead Marketing Specialist,11,1,4,5,5,2,2,5,5
Junior Software Developer,Mid-Level Software Developer,1,4,4,1,2,3,5,3,3
Analyst Project Manager,Specialist Project Manager,2,4,4,2,5,4,5,3,4
Senior Marketing Specialist,Lead Marketing Specialist,10,1,2,4,5,1,4,1,2
Director Data Scientist,Director Data Scientist,14,1,3,3,4,2,2,4,5
Specialist Marketing Specialist,Manager Marketing Specialist,5,2,3,1,3,3,5,3,4
Junior Marketing Specialist,Mid-Level Marketing Specialist,2,1,5,1,1,2,5,1,4
Mid-Level Data Scientist,Senior Data Scientist,6,3,5,2,4,3,4,1,2
Specialist Software Developer,Manager Software Developer,4,3,4,2,2,1,2,1,5
Lead Data Scientist,Lead Data Scientist,13,3,4,3,5,1,5,4,5
Mid-Level UX Designer,Senior UX Designer,7,4,4,3,3,1,2,5,5
Director Project Manager,Director Project Manager,12,2,2,2,3,3,5,3,5
Mid-Level Software Developer,Senior Software Developer,5,2,5,1,2,2,4,3,3
Senior Project Manager,Lead Project Manager,10,4,4,3,3,1,2,4,5
Manager Data Scientist,Director Data Scientist,8,3,3,1,3,3,3,3,4
Analyst Data Scientist,Specialist Data Scientist,1,1,3,1,4,3,4,3,5
Lead Project Manager,Lead Project Manager,15,4,4,1,1,2,4,2,2
Junior Software Developer,Mid-Level Software Developer,2,1,2,2,3,1,5,3,5
Mid-Level Project Manager,Senior Project Manager,6,1,2,1,1,4,5,2,4
Senior Marketing Specialist,Lead Marketing Specialist,10,3,4,3,4,1,1,5,5
Senior Software Developer,Lead Software Developer,9,4,5,3,4,1,2,2,5
Director UX Designer,Director UX Designer,15,4,5,1,5,1,4,4,5
Specialist Marketing Specialist,Manager Marketing Specialist,7,2,5,1,4,3,4,3,3
Senior Data Scientist,Lead Data Scientist,11,1,3,3,3,1,4,3,5
Manager Data Scientist,Director Data Scientist,11,1,3,2,5,3,5,1,4
Specialist UX Designer,Manager UX Designer,6,3,3,3,3,3,5,3,4
Lead Project Manager,Lead Project Manager,14,2,4,1,4,3,4,5,5
Mid-Level UX Designer,Senior UX Designer,6,4,4,3,4,1,4,1,5
Lead Data Scientist,Lead Data Scientist,13,3,4,3,4,1,5,2,5
Mid-Level UX Designer,Senior UX Designer,4,5,5,3,3,3,3,2,5
Mid-Level Data Scientist,Senior Data Scientist,5,1,2,2,2,2,3,4,5
Director UX Designer,Director UX Designer,14,5,5,1,4,1,5,5,5
Analyst UX Designer,Specialist UX Designer,3,4,5,2,5,1,2,1,4
Junior Marketing Specialist,Mid-Level Marketing Specialist,1,2,5,5,5,3,3,4,5
Analyst Project Manager,Specialist Project Manager,2,3,3,3,4,3,4,1,2
Director Project Manager,Director Project Manager,12,1,1,2,2,4,5,3,5
Specialist Software Developer,Manager Software Developer,5,1,4,2,2,3,5,2,5
Specialist UX Designer,Manager UX Designer,6,2,4,3,3,1,3,4,4
Junior Project Manager,Mid-Level Project Manager,2,2,3,2,5,3,3,5,5
Specialist Project Manager,Manager Project Manager,7,3,3,3,4,5,5,4,5
Senior Software Developer,Lead Software Developer,10,4,5,1,5,3,3,2,5
Senior UX Designer,Lead UX Designer,11,4,5,2,2,1,5,4,5
Junior Software Developer,Mid-Level Software Developer,3,2,2,2,4,2,2,3,3
Manager Marketing Specialist,Director Marketing Specialist,10,2,5,4,5,3,4,4,4
Lead Software Developer,Lead Software Developer,14,2,3,3,4,2,4,1,2
Junior Software Developer,Mid-Level Software Developer,3,2,2,2,4,2,3,2,2
Mid-Level Data Scientist,Senior Data Scientist,6,2,2,3,4,1,2,4,4
Director Marketing Specialist,Director Marketing Specialist,14,3,5,2,3,3,5,3,3
Mid-Level Marketing Specialist,Senior Marketing Specialist,4,3,3,1,3,3,4,4,4
Mid-Level Project Manager,Senior Project Manager,4,4,5,3,3,2,4,2,4
Analyst Software Developer,Specialist Software Developer,1,5,5,2,5,3,4,3,4
Specialist Data Scientist,Manager Data Scientist,6,3,4,3,5,3,5,3,5
Manager Project Manager,Director Project Manager,9,2,2,1,3,3,3,3,5
Analyst Project Manager,Specialist Project Manager,2,2,3,2,3,5,5,5,5
Junior Project Manager,Mid-Level Project Manager,3,3,3,2,3,5,5,1,4
Lead Software Developer,Lead Software Developer,12,2,3,1,2,2,5,2,3
Manager Software Developer,Director Software Developer,8,3,3,3,4,3,5,3,4
Lead Software Developer,Lead Software Developer,14,4,5,1,4,2,3,1,3
Mid-Level Project Manager,Senior Project Manager,6,2,3,2,2,5,5,5,5
Manager UX Designer,Director UX Designer,8,3,3,2,4,2,2,2,2
Analyst Project Manager,Specialist Project Manager,2,2,4,2,4,1,3,5,5
Director Project Manager,Director Project Manager,12,3,5,3,5,3,4,2,3
Analyst Data Scientist,Specialist Data Scientist,2,2,5,3,3,2,4,2,2
Senior Data Scientist,Lead Data Scientist,11,4,4,1,5,3,3,1,4
Analyst UX Designer,Specialist UX Designer,3,3,5,1,1,2,3,3,4
Specialist Project Manager,Manager Project Manager,5,2,4,1,4,3,5,5,5
Analyst UX Designer,Specialist UX Designer,2,5,5,3,5,2,4,4,4
Junior Data Scientist,Mid-Level Data Scientist,3,1,2,3,5,2,3,4,4
Senior Project Manager,Lead Project Manager,8,3,3,2,5,3,5,5,5
Lead Data Scientist,Lead Data Scientist,13,1,5,3,4,1,5,4,5
Director Data Scientist,Director Data Scientist,12,3,4,3,3,2,4,2,5
Senior UX Designer,Lead UX Designer,10,1,2,2,3,3,4,2,3
Specialist UX Designer,Manager UX Designer,6,5,5,3,4,3,4,1,4
Manager Project Manager,Director Project Manager,8,2,2,3,3,5,5,3,5
Senior Data Scientist,Lead Data Scientist,11,3,3,2,4,1,4,4,5
Manager Data Scientist,Director Data Scientist,9,3,3,2,3,2,5,3,4
Director Data Scientist,Director Data Scientist,15,5,5,3,4,1,5,1,3
Analyst Marketing Specialist,Specialist Marketing Specialist,2,2,5,4,5,1,3,1,5
Mid-Level Software Developer,Senior Software Developer,5,1,1,3,4,1,4,4,4
Junior Data Scientist,Mid-Level Data Scientist,2,4,4,1,1,1,2,1,2
Analyst Software Developer,Specialist Software Developer,2,4,4,1,4,1,1,3,4
Lead UX Designer,Lead UX Designer,13,2,5,2,5,2,5,5,5
Manager Software Developer,Director Software Developer,11,2,3,3,4,2,2,4,5
Specialist Marketing Specialist,Manager Marketing Specialist,4,1,3,2,5,3,4,3,3
Specialist Marketing Specialist,Manager Marketing Specialist,5,1,1,3,3,1,1,3,5
Director Software Developer,Director Software Developer,12,3,5,2,4,3,3,4,4
Senior UX Designer,Lead UX Designer,10,2,3,3,5,2,5,3,4
Senior Marketing Specialist,Lead Marketing Specialist,9,1,5,3,3,1,4,4,4
Mid-Level Data Scientist,Senior Data Scientist,6,3,5,3,4,1,3,4,4
Director Data Scientist,Director Data Scientist,14,2,5,3,3,3,3,3,3
Lead Marketing Specialist,Lead Marketing Specialist,15,1,2,1,2,3,3,1,1
Director Data Scientist,Director Data Scientist,15,3,4,1,1,2,3,2,5
Mid-Level Project Manager,Senior Project Manager,4,1,4,3,5,3,3,4,4
Mid-Level UX Designer,Senior UX Designer,4,2,3,3,4,1,5,5,5
Director Data Scientist,Director Data Scientist,15,5,5,2,5,2,3,3,3
Senior Marketing Specialist,Lead Marketing Specialist,9,3,3,3,3,1,1,4,4
Director Data Scientist,Director Data Scientist,13,5,5,1,3,1,4,4,5
Mid-Level Marketing Specialist,Senior Marketing Specialist,4,2,4,1,3,1,4,5,5
Lead UX Designer,Lead UX Designer,13,5,5,2,2,3,4,3,5
Director Data Scientist,Director Data Scientist,13,1,5,1,3,2,2,4,4
Manager Data Scientist,Director Data Scientist,9,4,5,3,4,2,5,4,4
Senior Project Manager,Lead Project Manager,11,1,4,2,3,2,2,4,4
Analyst Data Scientist,Specialist Data Scientist,2,2,5,2,4,2,5,2,3
Director UX Designer,Director UX Designer,12,3,3,2,2,2,2,1,1
Senior UX Designer,Lead UX Designer,11,2,4,1,3,3,4,4,4
Junior Software Developer,Mid-Level Software Developer,3,2,4,1,4,3,4,1,2
Manager Software Developer,Director Software Developer,11,4,5,3,3,1,2,1,4
Lead Data Scientist,Lead Data Scientist,15,1,5,2,2,1,4,1,1
Director UX Designer,Director UX Designer,15,1,2,2,4,2,4,2,5
Lead Software Developer,Lead Software Developer,13,2,2,3,3,3,5,2,2
Specialist Project Manager,Manager Project Manager,6,1,5,1,4,5,5,1,4
Analyst Data Scientist,Specialist Data Scientist,3,2,3,3,3,2,4,1,4
Director Project Manager,Director Project Manager,13,1,3,2,3,2,4,1,2
Director UX Designer,Director UX Designer,14,5,5,3,5,2,2,4,4
Mid-Level UX Designer,Senior UX Designer,6,5,5,2,4,1,3,5,5
Specialist UX Designer,Manager UX Designer,4,1,4,1,4,3,5,1,2
Specialist Data Scientist,Manager Data Scientist,7,1,1,1,4,3,5,1,1
Manager Software Developer,Director Software Developer,10,1,2,3,3,3,4,4,5
Mid-Level UX Designer,Senior UX Designer,6,4,5,3,4,1,5,2,4
Senior Marketing Specialist,Lead Marketing Specialist,8,2,4,3,5,2,4,2,2
Analyst UX Designer,Specialist UX Designer,1,3,3,1,3,1,3,1,4
Specialist UX Designer,Manager UX Designer,5,2,3,1,3,2,5,2,2
Junior Marketing Specialist,Mid-Level Marketing Specialist,1,1,4,3,3,2,5,3,4
Manager UX Designer,Director UX Designer,10,3,3,3,5,1,3,2,5
Mid-Level Software Developer,Senior Software Developer,5,1,2,2,3,3,5,3,4
Analyst Marketing Specialist,Specialist Marketing Specialist,2,1,1,5,5,3,5,2,3
Specialist UX Designer,Manager UX Designer,4,3,3,2,5,2,5,4,5
Specialist Marketing Specialist,Manager Marketing Specialist,4,1,2,4,4,2,5,1,2
Mid-Level Project Manager,Senior Project Manager,4,3,3,1,1,3,4,4,5
Mid-Level Software Developer,Senior Software Developer,5,3,3,1,4,1,4,2,2
Specialist Software Developer,Manager Software Developer,4,3,5,1,5,3,5,1,4
Senior Project Manager,Lead Project Manager,9,2,5,1,1,3,3,5,5
Junior UX Designer,Mid-Level UX Designer,1,2,5,2,4,2,5,5,5
Specialist Software Developer,Manager Software Developer,5,1,3,3,4,1,5,3,4
Analyst Marketing Specialist,Specialist Marketing Specialist,3,1,3,2,5,2,5,2,5
Lead UX Designer,Lead UX Designer,15,5,5,2,2,3,5,4,4
Mid-Level Marketing Specialist,Senior Marketing Specialist,7,2,2,2,4,2,4,2,2
Senior Software Developer,Lead Software Developer,8,4,4,2,3,3,4,2,3
Junior UX Designer,Mid-Level UX Designer,1,4,4,3,4,3,4,5,5
Manager Data Scientist,Director Data Scientist,8,4,4,3,3,2,4,3,4
Director Data Scientist,Director Data Scientist,15,5,5,3,4,1,2,1,2
Mid-Level Project Manager,Senior Project Manager,7,4,5,3,3,4,5,1,5
Senior Marketing Specialist,Lead Marketing Specialist,11,3,3,3,4,2,5,4,4
Senior UX Designer,Lead UX Designer,8,1,3,2,2,1,4,5,5
Lead Data Scientist,Lead Data Scientist,15,5,5,3,5,2,2,2,5
Manager Software Developer,Director Software Developer,8,1,2,1,2,2,5,2,3
Analyst Software Developer,Specialist Software Developer,1,1,1,2,3,2,5,2,4
Analyst Data Scientist,Specialist Data Scientist,3,4,5,2,5,1,5,1,4
Manager Data Scientist,Director Data Scientist,11,3,4,1,3,3,3,1,1
Junior Software Developer,Mid-Level Software Developer,1,5,5,2,2,1,1,1,4
Mid-Level UX Designer,Senior UX Designer,6,3,3,3,4,1,4,2,3
Specialist Software Developer,Manager Software Developer,6,4,5,3,3,1,5,1,4
Lead Software Developer,Lead Software Developer,14,4,5,2,4,1,1,2,3
Manager Marketing Specialist,Director Marketing Specialist,9,1,1,4,4,2,2,4,5
Mid-Level Data Scientist,Senior Data Scientist,4,4,5,1,4,3,3,1,5
Specialist Software Developer,Manager Software Developer,4,4,4,3,3,2,5,4,4
Senior Software Developer,Lead Software Developer,8,2,5,1,5,1,2,3,5
Director Data Scientist,Director Data Scientist,12,4,5,2,3,3,5,1,5
Director Marketing Specialist,Director Marketing Specialist,12,2,4,5,5,1,4,4,4
Mid-Level Data Scientist,Senior Data Scientist,4,1,5,3,3,2,2,3,3
Lead Data Scientist,Lead Data Scientist,14,4,5,3,3,1,4,4,5
Senior Software Developer,Lead Software Developer,10,3,5,1,1,3,5,4,5
Specialist UX Designer,Manager UX Designer,5,1,2,1,1,2,4,5,5
Lead Marketing Specialist,Lead Marketing Specialist,15,2,2,3,3,2,3,5,5
Senior UX Designer,Lead UX Designer,11,2,3,1,1,1,4,3,3
Lead Project Manager,Lead Project Manager,13,2,3,2,3,4,5,1,2
Senior Software Developer,Lead Software Developer,11,1,4,2,3,2,2,4,4
Specialist Marketing Specialist,Manager Marketing Specialist,7,2,5,3,3,3,5,5,5
Manager UX Designer,Director UX Designer,9,2,3,1,3,1,4,2,4
Director UX Designer,Director UX Designer,14,5,5,2,2,1,2,3,3
Mid-Level Software Developer,Senior Software Developer,7,3,4,1,2,2,4,2,2
Analyst Data Scientist,Specialist Data Scientist,3,2,5,3,3,3,3,4,4
Specialist UX Designer,Manager UX Designer,7,2,3,2,5,2,4,4,4
Manager Marketing Specialist,Director Marketing Specialist,11,3,4,4,5,3,4,5,5
Junior Project Manager,Mid-Level Project Manager,2,3,5,2,4,4,4,5,5
Manager Project Manager,Director Project Manager,11,3,4,3,3,2,4,5,5
Mid-Level Project Manager,Senior Project Manager,4,2,3,2,3,1,2,4,4
Specialist Marketing Specialist,Manager Marketing Specialist,4,1,4,5,5,1,4,3,4
Lead Marketing Specialist,Lead Marketing Specialist,13,3,3,1,2,1,5,4,5
Lead UX Designer,Lead UX Designer,12,1,3,3,4,1,3,5,5
Lead UX Designer,Lead UX Designer,13,4,4,2,2,2,3,3,3
Senior Marketing Specialist,Lead Marketing Specialist,9,3,3,3,5,3,5,5,5
Manager Marketing Specialist,Director Marketing Specialist,10,2,3,1,5,1,5,5,5
Specialist UX Designer,Manager UX Designer,5,1,4,2,2,3,4,3,4
Lead Data Scientist,Lead Data Scientist,12,2,3,3,4,1,3,3,3
Lead Marketing Specialist,Lead Marketing Specialist,15,2,5,2,2,1,4,5,5
Director Software Developer,Director Software Developer,13,1,4,1,4,2,3,1,1
Analyst Data Scientist,Specialist Data Scientist,3,3,3,1,3,3,5,1,1
Analyst UX Designer,Specialist UX Designer,2,5,5,1,2,3,5,1,1
Mid-Level Data Scientist,Senior Data Scientist,5,1,5,2,2,1,1,4,4
Specialist Project Manager,Manager Project Manager,6,3,3,3,5,3,3,4,4
Analyst Project Manager,Specialist Project Manager,1,2,4,2,2,3,5,1,4
Senior Software Developer,Lead Software Developer,9,3,3,2,4,3,3,1,3
Analyst Marketing Specialist,Specialist Marketing Specialist,3,1,3,4,5,3,5,1,3
Director UX Designer,Director UX Designer,12,2,2,2,2,3,4,1,4
Junior Marketing Specialist,Mid-Level Marketing Specialist,3,2,3,4,5,3,3,3,5
Junior Project Manager,Mid-Level Project Manager,2,4,5,1,1,4,4,4,5
Junior Data Scientist,Mid-Level Data Scientist,2,1,1,3,5,1,3,3,3
Analyst Marketing Specialist,Specialist Marketing Specialist,2,1,5,2,5,3,3,3,3
Director Software Developer,Director Software Developer,12,5,5,1,3,1,2,1,1
Director UX Designer,Director UX Designer,13,3,4,2,4,3,5,5,5
Senior Data Scientist,Lead Data Scientist,9,1,3,2,2,2,4,3,3
Lead UX Designer,Lead UX Designer,15,1,3,1,2,1,1,4,5
Senior Project Manager,Lead Project Manager,9,2,2,3,4,4,4,1,1
Manager Marketing Specialist,Director Marketing Specialist,9,3,5,2,5,2,3,3,4
Senior Software Developer,Lead Software Developer,11,5,5,1,2,3,3,1,5
Senior Software Developer,Lead Software Developer,8,3,3,1,3,3,5,2,4
Manager Software Developer,Director Software Developer,10,1,4,1,2,1,3,2,2
Senior UX Designer,Lead UX Designer,8,1,4,1,5,3,4,3,5
Specialist Marketing Specialist,Manager Marketing Specialist,6,3,4,5,5,1,5,4,5
Specialist Data Scientist,Manager Data Scientist,4,4,5,2,4,2,5,4,4
Specialist UX Designer,Manager UX Designer,7,4,5,3,5,2,4,1,5
Lead Marketing Specialist,Lead Marketing Specialist,15,3,3,1,3,1,2,5,5
Specialist Project Manager,Manager Project Manager,7,2,5,2,3,5,5,1,5
Specialist Data Scientist,Manager Data Scientist,6,5,5,2,4,3,3,4,4
Director Marketing Specialist,Director Marketing Specialist,13,3,4,3,3,1,1,2,4
Specialist Software Developer,Manager Software Developer,5,5,5,3,4,3,3,4,5
Analyst Marketing Specialist,Specialist Marketing Specialist,3,2,3,3,5,3,3,5,5
Manager Data Scientist,Director Data Scientist,10,5,5,1,4,1,4,4,5
Manager UX Designer,Director UX Designer,11,5,5,1,1,3,4,2,5
Director Project Manager,Director Project Manager,12,2,4,1,4,5,5,3,5
Manager UX Designer,Director UX Designer,10,1,1,1,5,1,2,3,3
Senior Marketing Specialist,Lead Marketing Specialist,9,3,4,1,1,2,5,1,2
Senior UX Designer,Lead UX Designer,8,4,4,1,2,3,5,1,3
Mid-Level Software Developer,Senior Software Developer,6,4,4,1,4,3,4,3,3
Director Project Manager,Director Project Manager,15,3,4,1,2,2,4,5,5
Junior UX Designer,Mid-Level UX Designer,2,5,5,1,3,3,3,1,2
Senior Project Manager,Lead Project Manager,9,3,4,2,5,5,5,4,4
Lead UX Designer,Lead UX Designer,14,4,4,2,2,3,3,4,4
Director Software Developer,Director Software Developer,13,4,4,3,5,1,2,2,5
Junior Software Developer,Mid-Level Software Developer,3,3,3,3,3,1,1,1,2
Mid-Level Marketing Specialist,Senior Marketing Specialist,4,2,5,2,2,3,3,2,4
Lead Data Scientist,Lead Data Scientist,13,4,5,3,4,1,1,2,3
Director Software Developer,Director Software Developer,13,1,2,3,4,1,2,1,1
Analyst Software Developer,Specialist Software Developer,1,4,5,1,2,3,4,3,5
Analyst Software Developer,Specialist Software Developer,2,4,4,3,3,1,2,2,2
Analyst UX Designer,Specialist UX Designer,3,4,5,1,3,2,3,5,5
Lead UX Designer,Lead UX Designer,15,1,1,2,5,2,2,1,3
Director Project Manager,Director Project Manager,15,4,4,1,5,1,5,2,2
Analyst Software Developer,Specialist Software Developer,3,5,5,2,4,2,4,1,4
Specialist Project Manager,Manager Project Manager,6,4,5,2,5,5,5,5,5
Senior Software Developer,Lead Software Developer,11,3,4,3,5,2,5,1,1
Specialist Project Manager,Manager Project Manager,5,1,5,1,3,3,5,1,3
Senior Marketing Specialist,Lead Marketing Specialist,11,3,4,2,5,1,5,3,3
Manager Data Scientist,Director Data Scientist,11,2,3,1,4,1,4,2,5
Senior Software Developer,Lead Software Developer,11,1,4,3,5,1,4,2,5
Senior UX Designer,Lead UX Designer,8,2,5,2,4,3,4,3,3
Manager Project Manager,Director Project Manager,10,4,5,1,2,1,4,3,4
Senior UX Designer,Lead UX Designer,8,5,5,1,4,2,3,2,3
Junior Marketing Specialist,Mid-Level Marketing Specialist,2,3,4,1,5,1,1,4,5
Analyst Data Scientist,Specialist Data Scientist,1,4,5,1,3,3,4,4,5
Analyst Software Developer,Specialist Software Developer,2,4,5,3,4,1,3,4,5
